Player,Pos,Squad,Comp,MP,Min,Gls,Ast,GA,xG,npxG,xAG,Sh,SoT,SoT_pct,KP,SCA,GCA,Succ_pct,Goals_per90,Assists_per90,xG_per90,Finishing,Shot_Accuracy
Yunis Abdelhamid,DF,Saint-Étienne,fr Ligue 1,16,1033,0,0,0,0.2,0.2,0.1,2,1,50.0,2,6,0,42.9,0.0,0.0,0.02,-0.2,50.0
Himad Abdelli,"MF,FW",Angers,fr Ligue 1,32,2842,6,1,7,6.4,3.2,3.2,35,8,22.9,39,94,5,47.1,0.19,0.03,0.2,-0.4,22.86
Mohamed Abdelmoneim,DF,Nice,fr Ligue 1,12,855,0,0,0,0.0,0.0,0.0,0,0,0.0,0,8,0,25.0,0.0,0.0,0.0,0.0,
Ali Abdi,"DF,MF",Nice,fr Ligue 1,25,1393,5,2,7,4.3,4.3,1.9,29,11,37.9,20,45,3,41.4,0.32,0.13,0.28,0.7,37.93
Abel,DF,Osasuna,es La Liga,35,2074,2,0,2,0.5,0.5,1.0,12,4,33.3,16,39,4,51.4,0.09,0.0,0.02,1.5,33.33
Matthis Abline,FW,Nantes,fr Ligue 1,34,2768,9,2,11,8.5,7.7,3.8,73,26,35.6,27,61,9,40.7,0.29,0.07,0.28,0.5,35.62
Abner,DF,Lyon,fr Ligue 1,19,1090,1,1,2,0.6,0.6,1.1,7,3,42.9,11,25,1,50.0,0.08,0.08,0.05,0.4,42.86
Zakaria Aboukhlal,"MF,FW",Toulouse,fr Ligue 1,26,1901,7,2,9,10.2,8.6,1.6,62,26,41.9,12,34,7,30.2,0.33,0.09,0.48,-3.2,41.94
Abdel Abqar,DF,Alavés,es La Liga,29,2463,0,1,1,0.9,0.9,0.3,12,1,8.3,8,25,3,75.0,0.0,0.04,0.03,-0.9,8.33
Tammy Abraham,FW,Milan,it Serie A,28,1183,3,4,7,7.1,5.4,2.2,26,11,42.3,14,33,9,28.6,0.23,0.3,0.54,-4.1,42.31
Francesco Acerbi,DF,Inter,it Serie A,23,1710,0,1,1,0.4,0.4,0.6,5,1,20.0,9,20,1,75.0,0.0,0.05,0.02,-0.4,20.0
Akor Adams,FW,Montpellier,fr Ligue 1,15,1075,3,1,4,4.3,4.3,1.0,26,12,46.2,12,25,5,50.0,0.25,0.08,0.36,-1.3,46.15
Che Adams,FW,Torino,it Serie A,36,2652,9,3,12,9.0,8.2,2.0,63,25,39.7,26,63,5,29.7,0.31,0.1,0.31,0.0,39.68
Tyler Adams,MF,Bournemouth,eng Premier League,28,1965,0,3,3,1.6,1.6,1.0,9,2,22.2,18,41,4,22.2,0.0,0.14,0.07,-1.6,22.22
Junior Adamu,FW,Freiburg,de Bundesliga,25,1545,2,2,4,5.5,5.5,2.4,36,11,30.6,17,29,3,34.5,0.12,0.12,0.32,-3.5,30.56
Tosin Adarabioyo,DF,Chelsea,eng Premier League,22,1409,1,1,2,0.9,0.9,0.2,13,2,15.4,1,15,1,66.7,0.06,0.06,0.06,0.1,15.38
Karim Adeyemi,"FW,MF",Dortmund,de Bundesliga,25,1433,7,6,13,5.5,5.5,6.0,46,18,39.1,28,57,11,42.6,0.44,0.38,0.35,1.5,39.13
Simon Adingra,"FW,MF",Brighton,eng Premier League,29,1097,2,2,4,2.5,2.5,2.5,33,8,24.2,16,47,7,42.0,0.16,0.16,0.21,-0.5,24.24
Amine Adli,"MF,FW",Leverkusen,de Bundesliga,20,766,2,0,2,2.7,2.7,0.7,20,7,35.0,11,29,0,46.9,0.23,0.0,0.32,-0.7,35.0
Yacine Adli,MF,Fiorentina,it Serie A,25,1219,4,6,10,1.0,1.0,2.4,14,5,35.7,23,50,10,37.5,0.3,0.44,0.07,3.0,35.71
Adrián,GK,Betis,es La Liga,19,1710,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,
Michel Aebischer,MF,Bologna,it Serie A,14,724,0,0,0,0.4,0.4,0.4,10,5,50.0,8,18,0,50.0,0.0,0.0,0.05,-0.4,50.0
Oladapo Afolayan,"FW,MF",St. Pauli,de Bundesliga,32,1639,3,1,4,3.1,3.1,3.8,38,13,34.2,21,52,6,49.0,0.16,0.05,0.17,-0.1,34.21
Emmanuel Agbadou,DF,Wolves,eng Premier League,16,1410,1,0,1,0.8,0.8,0.2,7,2,28.6,4,17,3,76.9,0.06,0.0,0.05,0.2,28.57
Emmanuel Agbadou,DF,Reims,fr Ligue 1,14,1260,0,0,0,0.5,0.5,0.3,15,3,20.0,8,21,1,75.0,0.0,0.0,0.04,-0.5,20.0
Jeremy Agbonifo,"FW,MF",Lens,fr Ligue 1,8,300,1,0,1,0.7,0.7,0.2,6,4,66.7,3,8,0,45.0,0.3,0.0,0.21,0.3,66.67
Julen Agirrezabala,GK,Athletic Club,es La Liga,14,1206,0,0,0,0.0,0.0,0.0,0,0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,
Lucien Agoume,MF,Sevilla,es La Liga,35,2114,1,3,4,0.9,0.9,2.5,10,2,20.0,27,60,5,73.3,0.04,0.13,0.04,0.1,20.0
Felix Agu,DF,Werder Bremen,de Bundesliga,22,1751,3,0,3,1.4,1.4,1.8,9,4,44.4,20,35,1,25.7,0.15,0.0,0.07,1.6,44.44
Álvaro Aguado,MF,Espanyol,es La Liga,16,443,0,1,1,0.6,0.6,0.6,10,1,10.0,4,16,1,62.5,0.0,0.2,0.12,-0.6,10.0
Nayef Aguerd,DF,Real Sociedad,es La Liga,21,1760,0,0,0,2.4,2.4,0.1,15,5,33.3,5,16,1,50.0,0.0,0.0,0.12,-2.4,33.33
Ruben Aguilar,"DF,MF",Lens,fr Ligue 1,16,1124,1,2,3,0.8,0.8,1.9,11,3,27.3,11,26,5,42.9,0.08,0.16,0.06,0.2,27.27
Jean-Eudes Aholou,MF,Angers,fr Ligue 1,26,1959,2,0,2,1.8,1.8,1.0,27,7,25.9,10,33,1,42.9,0.09,0.0,0.08,0.2,25.93
Joseph Aidoo,DF,Valladolid,es La Liga,8,583,0,0,0,0.0,0.0,0.0,1,0,0.0,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0
Ola Aina,DF,Nott'ham Forest,eng Premier League,35,2995,2,1,3,0.6,0.6,1.4,11,2,18.2,16,62,4,45.8,0.06,0.03,0.02,1.4,18.18
Rayan Aït-Nouri,DF,Wolves,eng Premier League,37,3109,4,7,11,2.7,2.7,5.5,36,10,27.8,46,91,12,46.0,0.12,0.2,0.08,1.3,27.78
Kristoffer Ajer,DF,Brentford,eng Premier League,24,1438,0,0,0,1.0,1.0,1.2,9,3,33.3,8,18,2,43.8,0.0,0.0,0.06,-1.0,33.33
Ludovic Ajorque,FW,Brest,fr Ligue 1,31,2495,13,2,15,10.4,9.6,3.1,53,25,47.2,35,60,8,47.1,0.47,0.07,0.38,2.6,47.17
Manuel Akanji,DF,Manchester City,eng Premier League,26,2014,0,0,0,1.6,1.6,0.4,15,2,13.3,9,37,3,100.0,0.0,0.0,0.07,-1.6,13.33
Ümit Akdag,DF,Toulouse,fr Ligue 1,9,500,0,0,0,0.1,0.1,0.1,2,0,0.0,2,5,0,100.0,0.0,0.0,0.02,-0.1,0.0
Nathan Aké,DF,Manchester City,eng Premier League,10,678,0,0,0,0.2,0.2,0.0,3,0,0.0,1,8,0,100.0,0.0,0.0,0.03,-0.2,0.0
Ilias Akhomach,"MF,FW",Villarreal,es La Liga,11,584,1,0,1,0.6,0.6,1.0,17,6,35.3,9,29,1,44.2,0.15,0.0,0.09,0.4,35.29
Sergio Akieme,DF,Reims,fr Ligue 1,30,2523,2,3,5,1.5,1.5,2.5,26,7,26.9,21,37,3,41.9,0.07,0.11,0.05,0.5,26.92
Maghnes Akliouche,"FW,MF",Monaco,fr Ligue 1,32,2406,5,10,15,9.2,8.4,7.3,61,17,27.9,49,119,19,48.5,0.19,0.37,0.34,-4.2,27.87
Clément Akpa,DF,Auxerre,fr Ligue 1,31,2486,0,1,1,0.3,0.3,0.9,6,1,16.7,8,22,4,34.8,0.0,0.04,0.01,-0.3,16.67
Jean-Daniel Akpa-Akpro,MF,Monza,it Serie A,14,966,0,0,0,0.3,0.3,0.2,4,2,50.0,3,12,1,31.6,0.0,0.0,0.03,-0.3,50.0
Kevin Akpoguma,DF,Hoffenheim,de Bundesliga,32,2220,0,0,0,0.1,0.1,0.3,5,1,20.0,7,27,1,53.3,0.0,0.0,0.0,-0.1,20.0
Chuba Akpom,FW,Lille,fr Ligue 1,14,639,3,1,4,5.0,3.4,0.5,18,9,50.0,5,17,3,44.4,0.42,0.14,0.7,-2.0,50.0
David Alaba,DF,Real Madrid,es La Liga,7,317,0,0,0,0.0,0.0,0.1,0,0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,
Raúl Albiol,DF,Villarreal,es La Liga,15,1188,0,0,0,0.1,0.1,0.0,2,0,0.0,0,5,3,0.0,0.0,0.0,0.01,-0.1,0.0
Carlos Alcaraz,"FW,MF",Everton,eng Premier League,15,764,2,3,5,1.7,1.7,1.6,26,11,42.3,13,33,6,50.0,0.24,0.35,0.2,0.3,42.31
Omar Alderete,DF,Getafe,es La Liga,34,2971,1,0,1,1.7,1.7,0.9,38,10,26.3,11,37,4,64.3,0.03,0.0,0.05,-0.7,26.32
Carles Aleñá,"MF,FW",Getafe,es La Liga,10,452,0,0,0,0.9,0.9,0.1,5,1,20.0,3,8,0,75.0,0.0,0.0,0.18,-0.9,20.0
Carles Aleñá,"MF,FW",Alavés,es La Liga,14,1090,0,2,2,0.7,0.7,1.3,15,4,26.7,19,44,4,50.0,0.0,0.17,0.06,-0.7,26.67
Trent Alexander-Arnold,DF,Liverpool,eng Premier League,33,2365,3,6,9,1.9,1.9,7.3,45,8,17.8,52,98,10,45.9,0.11,0.23,0.07,1.1,17.78
Alfon,"FW,MF",Celta Vigo,es La Liga,26,1371,5,2,7,4.6,4.6,2.6,46,19,41.3,24,59,7,39.7,0.33,0.13,0.3,0.4,41.3
Mohamed Ali Cho,"FW,MF",Nice,fr Ligue 1,27,1621,3,4,7,4.0,4.0,4.0,36,15,41.7,30,59,11,28.6,0.17,0.22,0.22,-1.0,41.67
Alisson,GK,Liverpool,eng Premier League,28,2508,0,0,0,0.0,0.0,0.6,0,0,0.0,1,7,1,100.0,0.0,0.0,0.0,0.0,
Jim Allevinah,FW,Angers,fr Ligue 1,28,1750,1,3,4,4.2,4.2,2.5,35,10,28.6,15,39,7,31.3,0.05,0.15,0.22,-3.2,28.57
Thiago Almada,"MF,FW",Lyon,fr Ligue 1,16,951,1,4,5,2.0,2.0,2.6,23,5,21.7,22,52,11,57.1,0.09,0.38,0.19,-1.0,21.74
Domingos André Ribeiro Almeida,"MF,FW",Valencia,es La Liga,34,1977,0,4,4,1.2,1.2,3.2,18,5,27.8,43,86,6,40.7,0.0,0.18,0.05,-1.2,27.78
Pontus Almqvist,"FW,MF",Parma,it Serie A,29,1112,1,1,2,2.1,2.1,1.3,26,9,34.6,10,26,2,40.0,0.08,0.08,0.17,-1.1,34.62
Marcos Alonso,DF,Celta Vigo,es La Liga,31,2647,3,0,3,4.0,1.6,1.3,31,10,32.3,21,46,6,64.0,0.1,0.0,0.14,-1.0,32.26
Giorgio Altare,DF,Venezia,it Serie A,12,753,0,0,0,0.2,0.2,0.1,3,1,33.3,1,5,0,83.3,0.0,0.0,0.02,-0.2,33.33
Adrià Altimira,"DF,FW",Leganés,es La Liga,22,1630,0,0,0,0.3,0.3,0.5,7,2,28.6,11,21,1,32.3,0.0,0.0,0.02,-0.3,28.57
Sergi Altimira,MF,Betis,es La Liga,32,1972,0,1,1,1.7,1.6,1.7,21,4,19.0,22,52,1,66.7,0.0,0.05,0.08,-1.7,19.05
Edson Álvarez,MF,West Ham,eng Premier League,28,1772,0,1,1,0.4,0.4,0.8,12,1,8.3,12,28,2,42.4,0.0,0.05,0.02,-0.4,8.33
Hugo Álvarez,"MF,DF",Celta Vigo,es La Liga,26,1572,4,3,7,2.5,2.5,1.1,25,9,36.0,17,46,9,44.4,0.23,0.17,0.14,1.5,36.0
Julián Álvarez,FW,Atlético Madrid,es La Liga,37,2509,17,4,21,14.1,11.0,5.3,70,36,51.4,41,108,15,52.3,0.61,0.14,0.51,2.9,51.43
Yeray Álvarez,DF,Athletic Club,es La Liga,21,1781,1,0,1,0.5,0.5,0.2,9,2,22.2,4,18,2,66.7,0.05,0.0,0.03,0.5,22.22
Selim Amallah,MF,Valladolid,es La Liga,24,1376,3,1,4,3.5,2.7,1.1,21,7,33.3,13,32,1,48.5,0.2,0.07,0.23,-0.5,33.33
Harry Amass,DF,Manchester Utd,eng Premier League,5,346,0,0,0,0.1,0.1,0.0,3,0,0.0,1,8,0,37.5,0.0,0.0,0.03,-0.1,0.0
Amath,"FW,DF",Valladolid,es La Liga,13,375,0,1,1,0.4,0.4,0.5,5,1,20.0,6,13,1,43.8,0.0,0.24,0.1,-0.4,20.0
Jordan Amavi,DF,Brest,fr Ligue 1,11,790,0,0,0,0.3,0.3,0.2,8,3,37.5,6,14,1,53.8,0.0,0.0,0.03,-0.3,37.5
Kelvin Amian,DF,Nantes,fr Ligue 1,30,2165,1,0,1,1.0,1.0,0.8,7,4,57.1,13,38,1,59.1,0.04,0.0,0.04,0.0,57.14
Michael Amir Murillo,DF,Marseille,fr Ligue 1,30,2437,1,3,4,1.5,1.5,3.3,13,4,30.8,24,47,6,51.9,0.04,0.11,0.06,-0.5,30.77
Nadiem Amiri,MF,Mainz 05,de Bundesliga,30,2473,7,5,12,5.5,3.9,6.6,60,24,40.0,63,119,15,47.8,0.25,0.18,0.2,1.5,40.0
Samuel Amo-Ameyaw,"DF,MF",Strasbourg,fr Ligue 1,9,320,2,0,2,0.7,0.7,0.6,9,7,77.8,5,14,1,41.7,0.56,0.0,0.2,1.3,77.78
Mathis Amougou,MF,Saint-Étienne,fr Ligue 1,17,859,0,0,0,0.5,0.5,0.4,7,1,14.3,7,17,0,31.3,0.0,0.0,0.05,-0.5,14.29
Mohamed Amoura,FW,Wolfsburg,de Bundesliga,31,2467,10,9,19,8.7,7.2,4.0,73,25,34.2,35,80,13,40.7,0.36,0.33,0.32,1.3,34.25
Joachim Andersen,DF,Fulham,eng Premier League,29,2583,0,0,0,1.0,1.0,0.5,19,4,21.1,4,35,2,66.7,0.0,0.0,0.03,-1.0,21.05
Elliot Anderson,MF,Nott'ham Forest,eng Premier League,37,2728,2,6,8,2.1,2.1,3.3,40,7,17.5,37,87,10,48.0,0.07,0.2,0.07,-0.1,17.5
André,MF,Wolves,eng Premier League,33,2472,0,0,0,0.4,0.4,0.8,10,1,10.0,18,49,3,50.0,0.0,0.0,0.01,-0.4,10.0
Benjamin André,MF,Lille,fr Ligue 1,30,2692,0,3,3,1.4,1.4,1.9,16,4,25.0,21,53,9,40.9,0.0,0.1,0.05,-1.4,25.0
Marcos André,FW,Valladolid,es La Liga,22,1188,1,2,3,2.7,2.7,0.8,22,2,9.1,9,19,1,41.5,0.08,0.15,0.2,-1.7,9.09
Robert Andrich,"MF,DF",Leverkusen,de Bundesliga,23,1598,2,2,4,1.3,1.3,0.3,21,5,23.8,9,33,4,40.0,0.11,0.11,0.07,0.7,23.81
Angeliño,DF,Roma,it Serie A,38,3177,2,1,3,1.4,1.4,3.7,24,6,25.0,50,89,7,40.7,0.06,0.03,0.04,0.6,25.0
Faustino Anjorin,MF,Empoli,it Serie A,22,1114,2,3,5,0.9,0.9,1.7,23,7,30.4,17,32,5,39.0,0.16,0.24,0.07,1.1,30.43
Waldemar Anton,DF,Dortmund,de Bundesliga,26,1949,2,2,4,1.7,1.7,0.8,19,3,15.8,6,41,5,83.3,0.09,0.09,0.08,0.3,15.79
Michail Antonio,FW,West Ham,eng Premier League,14,836,1,1,2,2.2,2.2,1.6,19,4,21.1,9,22,4,33.3,0.11,0.11,0.24,-1.2,21.05
Antoniu,"FW,MF",Espanyol,es La Liga,26,1022,0,1,1,0.9,0.9,1.1,10,4,40.0,7,24,1,53.7,0.0,0.09,0.08,-0.9,40.0
Antony,FW,Betis,es La Liga,17,1362,5,2,7,2.9,2.9,3.5,43,17,39.5,36,77,9,38.1,0.33,0.13,0.19,2.1,39.53
Anuar,"MF,FW",Valladolid,es La Liga,26,1720,2,0,2,1.7,1.7,1.2,11,5,45.5,7,25,4,29.2,0.1,0.0,0.09,0.3,45.45
Dennis Appiah,DF,Saint-Étienne,fr Ligue 1,29,2128,0,1,1,0.2,0.2,2.1,5,2,40.0,13,38,3,46.5,0.0,0.04,0.01,-0.2,40.0
Mauro Arambarri,MF,Getafe,es La Liga,35,2661,10,0,10,8.2,5.8,0.6,53,16,30.2,17,54,3,52.9,0.34,0.0,0.28,1.8,30.19
Jon Aramburu,DF,Real Sociedad,es La Liga,35,2460,1,1,2,0.4,0.4,1.1,11,3,27.3,15,33,2,21.6,0.04,0.04,0.01,0.6,27.27
Julian Araujo,DF,Bournemouth,eng Premier League,12,497,0,0,0,0.0,0.0,0.1,0,0,0.0,1,5,0,0.0,0.0,0.0,0.0,0.0,
Ronald Araújo,DF,Barcelona,es La Liga,12,754,1,1,2,1.0,1.0,0.4,4,2,50.0,4,12,2,0.0,0.12,0.12,0.12,0.0,50.0
Cameron Archer,FW,Southampton,eng Premier League,35,1441,2,0,2,5.7,4.9,0.5,28,10,35.7,5,20,0,40.5,0.12,0.0,0.36,-3.7,35.71
Carlens Arcus,DF,Angers,fr Ligue 1,28,2047,0,1,1,0.0,0.0,1.4,3,0,0.0,17,37,3,44.4,0.0,0.04,0.0,0.0,0.0
Alphonse Areola,GK,West Ham,eng Premier League,26,2260,0,0,0,0.0,0.0,0.0,0,0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,
Jesús Areso,DF,Osasuna,es La Liga,36,3079,0,3,3,0.2,0.2,3.5,8,0,0.0,30,73,9,37.5,0.0,0.09,0.01,-0.2,0.0
Joe Aribo,"MF,DF",Southampton,eng Premier League,32,2013,3,0,3,2.7,2.7,1.6,17,7,41.2,16,37,1,42.9,0.13,0.0,0.12,0.3,41.18
Adam Armstrong,"FW,MF",Southampton,eng Premier League,20,1248,2,2,4,3.3,2.3,1.2,25,7,28.0,9,19,4,42.9,0.14,0.14,0.24,-1.3,28.0
Hákon Arnar Haraldsson,"MF,FW",Lille,fr Ligue 1,25,1755,5,3,8,3.8,3.8,2.8,35,13,37.1,35,70,7,55.1,0.26,0.15,0.19,1.2,37.14
Marko Arnautović,FW,Inter,it Serie A,17,527,4,2,6,3.3,3.3,1.2,13,6,46.2,7,15,2,66.7,0.68,0.34,0.56,0.7,46.15
Maximilian Arnold,MF,Wolfsburg,de Bundesliga,28,2356,3,5,8,0.9,0.9,3.5,27,12,44.4,45,83,10,16.7,0.11,0.19,0.03,2.1,44.44
Jann-Fiete Arp,"FW,MF",Holstein Kiel,de Bundesliga,23,713,2,0,2,3.8,2.2,1.0,20,9,45.0,11,33,3,43.8,0.25,0.0,0.48,-1.8,45.0
Kepa Arrizabalaga,GK,Bournemouth,eng Premier League,31,2790,0,0,0,0.1,0.1,0.0,1,0,0.0,1,4,0,100.0,0.0,0.0,0.0,-0.1,0.0
Arthur,DF,Leverkusen,de Bundesliga,20,752,0,1,1,0.1,0.1,0.4,1,0,0.0,2,7,1,20.8,0.0,0.12,0.01,-0.1,0.0
Takuma Asano,"FW,MF",Mallorca,es La Liga,21,1054,2,1,3,2.7,2.7,0.7,28,8,28.6,6,22,2,24.0,0.17,0.09,0.23,-0.7,28.57
Raúl Asencio,DF,Real Madrid,es La Liga,23,1670,0,1,1,0.1,0.1,0.6,3,1,33.3,6,12,1,66.7,0.0,0.05,0.01,-0.1,33.33
Marco Asensio,MF,Aston Villa,eng Premier League,13,743,3,1,4,4.4,2.9,1.0,22,9,40.9,16,35,3,63.2,0.36,0.12,0.53,-1.4,40.91
Marco Asensio,"FW,MF",Paris S-G,fr Ligue 1,12,618,2,4,6,5.6,5.6,2.7,26,14,53.8,16,37,7,50.0,0.29,0.58,0.82,-3.6,53.85
Kristjan Asllani,MF,Inter,it Serie A,21,980,2,2,4,2.5,0.9,1.9,14,3,21.4,15,31,3,16.7,0.18,0.18,0.23,-0.5,21.43
Iago Aspas,"FW,MF",Celta Vigo,es La Liga,30,1745,10,5,15,8.7,4.0,4.6,46,18,39.1,38,74,13,55.6,0.52,0.26,0.45,1.3,39.13
Yaser Asprilla,"FW,MF",Girona,es La Liga,27,1405,3,1,4,2.1,2.1,2.8,38,11,28.9,24,61,7,45.3,0.19,0.06,0.13,0.9,28.95
Lorenz Assignon,"DF,MF",Rennes,fr Ligue 1,32,2357,3,4,7,2.2,2.2,3.5,22,5,22.7,29,67,10,36.4,0.11,0.15,0.08,0.8,22.73
Valentin Atangana Edoa,MF,Reims,fr Ligue 1,34,2854,1,0,1,2.5,2.5,1.1,33,6,18.2,12,49,1,29.2,0.03,0.0,0.08,-1.5,18.18
Arthur Atta,"MF,FW",Udinese,it Serie A,27,1251,0,1,1,1.3,1.3,1.4,26,7,26.9,18,46,2,44.3,0.0,0.07,0.09,-1.3,26.92
Noah Atubolu,GK,Freiburg,de Bundesliga,26,2307,0,0,0,0.0,0.0,0.0,0,0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,
Emil Audero,GK,Como,it Serie A,8,720,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,
Tommaso Augello,DF,Cagliari,it Serie A,38,2713,0,7,7,0.3,0.3,4.6,8,0,0.0,39,73,11,55.8,0.0,0.23,0.01,-0.3,0.0
Carlos Augusto,DF,Inter,it Serie A,28,1625,3,2,5,2.8,2.8,1.6,24,6,25.0,9,24,3,58.3,0.17,0.11,0.16,0.2,25.0
Yann Aurel Bisseck,DF,Inter,it Serie A,26,1553,3,2,5,2.6,2.6,0.9,21,5,23.8,7,20,4,20.0,0.17,0.12,0.15,0.4,23.81
Ezequiel Ávila,FW,Betis,es La Liga,19,677,2,0,2,1.5,1.5,1.0,20,10,50.0,15,31,3,45.5,0.27,0.0,0.2,0.5,50.0
Taiwo Awoniyi,FW,Nott'ham Forest,eng Premier League,26,416,1,0,1,2.1,2.1,0.1,10,4,40.0,2,9,1,44.4,0.22,0.0,0.45,-1.1,40.0
Yasin Ayari,MF,Brighton,eng Premier League,34,1965,2,1,3,2.4,2.4,2.3,28,8,28.6,30,61,6,40.0,0.09,0.05,0.11,-0.4,28.57
Florian Ayé,FW,Auxerre,fr Ligue 1,26,575,2,0,2,1.9,1.9,0.1,12,3,25.0,3,5,2,100.0,0.31,0.0,0.3,0.1,25.0
André Ayew,FW,Le Havre,fr Ligue 1,27,1453,4,1,5,4.3,4.3,0.2,22,9,40.9,8,20,1,38.5,0.25,0.06,0.27,-0.3,40.91
Jordan Ayew,"FW,MF",Leicester City,eng Premier League,30,1638,5,0,5,3.2,2.4,1.1,31,8,25.8,16,41,2,40.6,0.27,0.0,0.18,1.8,25.81
Neil El Aynaoui,MF,Lens,fr Ligue 1,24,1588,8,1,9,4.0,1.6,2.0,16,7,43.8,22,42,2,23.8,0.45,0.06,0.23,4.0,43.75
Adam Aznou,DF,Valladolid,es La Liga,13,876,0,0,0,0.3,0.3,0.3,4,1,25.0,6,16,0,46.3,0.0,0.0,0.03,-0.3,25.0
César Azpilicueta,DF,Atlético Madrid,es La Liga,14,875,1,0,1,0.2,0.2,0.1,5,2,40.0,3,8,1,50.0,0.1,0.0,0.02,0.8,40.0
Paulo Azzi,DF,Cagliari,it Serie A,6,426,0,0,0,0.5,0.5,0.9,8,3,37.5,5,15,0,61.5,0.0,0.0,0.11,-0.5,37.5
Shavy Babicka,"MF,FW",Toulouse,fr Ligue 1,30,1186,4,2,6,3.9,3.9,1.6,20,9,45.0,13,29,5,29.7,0.3,0.15,0.3,0.1,45.0
Loïc Bade,DF,Sevilla,es La Liga,32,2686,1,1,2,0.6,0.6,0.7,13,4,30.8,4,23,2,77.3,0.03,0.03,0.02,0.4,30.77
Milan Badelj,MF,Genoa,it Serie A,23,1472,1,0,1,1.0,1.0,1.1,14,2,14.3,12,26,1,45.0,0.06,0.0,0.06,0.0,14.29
Benoît Badiashile,DF,Chelsea,eng Premier League,5,334,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,
Alex Baena,"MF,FW",Villarreal,es La Liga,32,2595,7,9,16,7.1,6.3,11.7,69,17,24.6,95,169,21,37.5,0.24,0.31,0.25,-0.1,24.64
Juma Bah,DF,Valladolid,es La Liga,12,864,0,0,0,0.3,0.3,0.0,3,1,33.3,1,2,0,75.0,0.0,0.0,0.03,-0.3,33.33
Juma Bah,DF,Lens,fr Ligue 1,10,686,0,0,0,0.1,0.1,0.2,2,1,50.0,2,7,0,100.0,0.0,0.0,0.01,-0.1,50.0
Leon Bailey,"FW,MF",Aston Villa,eng Premier League,24,1139,1,2,3,1.7,1.7,1.5,28,6,21.4,16,38,4,38.6,0.08,0.16,0.13,-0.7,21.43
Eric Bailly,DF,Villarreal,es La Liga,12,617,0,0,0,0.3,0.3,0.0,4,0,0.0,0,2,0,100.0,0.0,0.0,0.04,-0.3,0.0
Theo Bair,FW,Auxerre,fr Ligue 1,29,939,2,1,3,3.0,3.0,1.2,26,13,50.0,10,17,2,25.0,0.19,0.1,0.29,-1.0,50.0
Stefan Bajcetic,"MF,DF",Las Palmas,es La Liga,14,969,1,0,1,0.3,0.3,0.2,5,2,40.0,7,14,1,45.8,0.09,0.0,0.03,0.7,40.0
Cédric Bakambu,FW,Betis,es La Liga,25,710,2,2,4,3.2,3.2,0.6,24,11,45.8,8,11,3,14.3,0.25,0.25,0.41,-1.2,45.83
Mitchel Bakker,"FW,DF",Lille,fr Ligue 1,24,1139,3,2,5,3.0,3.0,2.7,23,10,43.5,23,40,4,52.4,0.24,0.16,0.24,0.0,43.48
Ridle Baku,"FW,MF",Wolfsburg,de Bundesliga,15,1170,2,1,3,1.5,1.5,1.3,18,6,33.3,13,31,4,45.0,0.15,0.08,0.12,0.5,33.33
Ridle Baku,"DF,MF",RB Leipzig,de Bundesliga,19,1275,2,3,5,1.4,1.4,1.5,17,5,29.4,14,30,6,66.7,0.14,0.21,0.1,0.6,29.41
Dilane Bakwa,"MF,DF",Strasbourg,fr Ligue 1,30,2497,6,8,14,4.7,4.7,6.6,52,22,42.3,47,110,16,39.4,0.22,0.29,0.17,1.3,42.31
Tommaso Baldanzi,"MF,FW",Roma,it Serie A,31,832,1,1,2,1.4,1.4,1.0,20,4,20.0,10,36,4,43.6,0.11,0.11,0.15,-0.4,20.0
Alejandro Balde,DF,Barcelona,es La Liga,32,2284,0,4,4,0.5,0.5,3.4,12,3,25.0,26,76,12,41.8,0.0,0.16,0.02,-0.5,25.0
Keita Baldé,FW,Monza,it Serie A,11,638,2,0,2,1.1,1.1,0.2,14,5,35.7,4,21,0,31.3,0.28,0.0,0.16,0.9,35.71
Carlos Baleba,MF,Brighton,eng Premier League,34,2661,3,1,4,3.1,3.1,1.3,44,11,25.0,21,66,4,57.9,0.1,0.03,0.1,-0.1,25.0
Leonardo Balerdi,DF,Marseille,fr Ligue 1,27,2273,0,0,0,0.9,0.9,0.7,15,1,6.7,8,27,3,68.8,0.0,0.0,0.04,-0.9,6.67
Iván Balliu,DF,Rayo Vallecano,es La Liga,25,1200,0,0,0,0.0,0.0,0.5,1,0,0.0,7,19,1,50.0,0.0,0.0,0.0,0.0,0.0
Fodé Ballo-Touré,"DF,MF",Le Havre,fr Ligue 1,10,589,0,0,0,0.0,0.0,0.1,0,0,0.0,1,4,1,35.7,0.0,0.0,0.0,0.0,
Botond Balogh,DF,Parma,it Serie A,29,2053,0,1,1,0.4,0.4,0.1,3,0,0.0,2,8,2,0.0,0.0,0.04,0.02,-0.4,0.0
