Player,Pos,Squad,Comp,MP,Min,Gls,Ast,GA,xG,npxG,xAG,Sh,SoT,SoT_pct,KP,SCA,GCA,Succ_pct,Goals_per90,Assists_per90,xG_per90,Finishing,Shot_Accuracy
Miguel,FW,Leganés,es La Liga,34,1724,1,3,4,4.9,3.3,1.4,33,14,42.4,7,28,6,22.2,0.05,0.16,0.26,-3.9,42.42
Valentin Mihaila,"FW,MF",Parma,it Serie A,21,1288,0,3,3,2.4,2.4,1.2,31,11,35.5,17,48,5,37.0,0.0,0.21,0.17,-2.4,35.48
Georges Mikautadze,FW,Lyon,fr Ligue 1,34,1449,11,6,17,10.3,7.0,4.3,52,22,42.3,21,49,12,28.8,0.68,0.37,0.64,0.7,42.31
Nikola Milenković,DF,Nott'ham Forest,eng Premier League,37,3330,5,2,7,4.0,4.0,1.1,29,8,27.6,9,21,3,100.0,0.14,0.05,0.11,1.0,27.59
Lewis Miley,MF,Newcastle Utd,eng Premier League,14,313,1,0,1,0.5,0.5,0.0,3,2,66.7,1,4,0,33.3,0.29,0.0,0.14,0.5,66.67
Vanja Milinković-Savić,GK,Torino,it Serie A,37,3330,0,0,0,0.0,0.0,0.1,0,0,0.0,3,10,0,0.0,0.0,0.0,0.0,0.0,
Éder Militão,DF,Real Madrid,es La Liga,12,938,1,1,2,0.6,0.6,0.5,10,3,30.0,6,12,1,62.5,0.1,0.1,0.06,0.4,30.0
Luis Milla,MF,Getafe,es La Liga,33,2875,1,4,5,1.8,1.0,3.9,31,7,22.6,70,130,6,53.8,0.03,0.13,0.06,-0.8,22.58
Pere Milla,"MF,FW",Espanyol,es La Liga,20,456,3,0,3,1.5,1.5,0.3,11,5,45.5,5,13,1,28.6,0.59,0.0,0.3,1.5,45.45
Enzo Millot,"MF,FW",Stuttgart,de Bundesliga,29,1843,6,5,11,7.6,6.7,3.1,43,17,39.5,23,66,10,46.3,0.29,0.24,0.37,-1.6,39.53
Kim Min-jae,DF,Bayern Munich,de Bundesliga,27,2283,2,0,2,1.6,1.6,0.3,7,5,71.4,6,26,2,60.0,0.08,0.0,0.06,0.4,71.43
Yerry Mina,DF,Cagliari,it Serie A,31,2569,1,0,1,2.3,2.3,0.3,26,8,30.8,4,26,2,37.5,0.04,0.0,0.08,-1.3,30.77
Takumi Minamino,"MF,FW",Monaco,fr Ligue 1,31,2231,6,3,9,8.9,8.9,6.6,57,20,35.1,40,80,7,30.0,0.24,0.12,0.36,-2.9,35.09
Lucas Mincarelli,DF,Montpellier,fr Ligue 1,10,715,1,0,1,0.6,0.6,0.3,7,2,28.6,3,6,0,20.0,0.13,0.0,0.08,0.4,28.57
Tyrone Mings,DF,Aston Villa,eng Premier League,14,1120,0,0,0,0.8,0.8,0.2,9,1,11.1,3,18,2,66.7,0.0,0.0,0.06,-0.8,11.11
Óscar Mingueza,"MF,DF",Celta Vigo,es La Liga,34,2729,4,6,10,1.5,1.5,5.6,33,10,30.3,35,97,14,41.7,0.13,0.2,0.05,2.5,30.3
Yankuba Minteh,"FW,MF",Brighton,eng Premier League,32,1838,6,4,10,4.1,4.1,5.0,34,16,47.1,29,64,13,46.9,0.29,0.2,0.2,1.9,47.06
Bojan Miovski,FW,Girona,es La Liga,17,869,2,1,3,2.7,2.7,0.2,14,4,28.6,4,10,4,42.9,0.21,0.1,0.28,-0.7,28.57
Rafa Mir,"FW,MF",Valencia,es La Liga,20,753,1,2,3,3.0,3.0,0.7,27,7,25.9,4,11,4,14.3,0.12,0.24,0.36,-2.0,25.93
Juan Miranda,DF,Bologna,it Serie A,31,2277,0,6,6,0.7,0.7,6.1,22,5,22.7,57,96,13,35.0,0.0,0.24,0.03,-0.7,22.73
Fabio Miretti,"MF,FW",Genoa,it Serie A,25,1677,3,3,6,3.1,3.1,2.0,24,6,25.0,22,53,6,34.2,0.16,0.16,0.17,-0.1,25.0
Tyrick Mitchell,DF,Crystal Palace,eng Premier League,37,3092,0,5,5,1.3,1.3,6.4,12,3,25.0,41,72,7,42.1,0.0,0.15,0.04,-1.3,25.0
Kaoru Mitoma,"FW,MF",Brighton,eng Premier League,36,2603,10,4,14,9.2,9.2,4.6,57,27,47.4,37,87,10,39.7,0.35,0.14,0.32,0.8,47.37
Maximilian Mittelstädt,DF,Stuttgart,de Bundesliga,31,2469,1,7,8,0.9,0.9,4.7,21,4,19.0,47,98,15,55.3,0.04,0.26,0.03,0.1,19.05
Koji Miyoshi,"FW,MF",Bochum,de Bundesliga,15,464,1,0,1,1.1,1.1,0.8,12,5,41.7,5,9,0,35.7,0.19,0.0,0.21,-0.1,41.67
